r_cm,v_cms,temp,peak,snr,width_us,area,power_percent,snr_norm_r,area_norm_r,width_rel,energy_density,stability_std,snr_variance,echo_consistency,gt_distance_cm,material
29.9,0.0,25.0,13363.6,30.55,177.76,113959.6,19.8,1.027324414715719,3829.471739130436,6.205250836120401,617.5520232170277,3.552713678800501e-15,0.1626210000000003,707.0071141615206,30,Cardboard
29.9,0.0,25.0,13119.87,30.2,188.87,114099.3,19.8,1.027324414715719,3829.471739130436,6.205250836120401,617.5520232170277,3.552713678800501e-15,0.1626210000000003,707.0071141615206,30,Cardboard
29.9,0.0,25.0,13119.87,30.2,188.87,114099.3,19.8,1.027324414715719,3829.471739130436,6.205250836120401,617.5520232170277,3.552713678800501e-15,0.1626210000000003,707.0071141615206,30,Cardboard
29.9,0.0,25.0,13119.87,30.2,188.87,114099.3,19.8,1.027324414715719,3829.471739130436,6.205250836120401,617.5520232170277,3.552713678800501e-15,0.1626210000000003,707.0071141615206,30,Cardboard
29.9,0.0,25.0,13119.87,30.2,188.87,114099.3,19.8,1.027324414715719,3829.471739130436,6.205250836120401,617.5520232170277,3.552713678800501e-15,0.1626210000000003,707.0071141615206,30,Cardboard
29.9,0.0,25.0,13119.87,30.2,188.87,114099.3,19.8,1.027324414715719,3829.471739130436,6.205250836120401,617.5520232170277,3.552713678800501e-15,0.1626210000000003,707.0071141615206,30,Cardboard
29.9,0.0,25.0,13119.87,30.2,188.87,114099.3,19.8,1.027324414715719,3829.471739130436,6.205250836120401,617.5520232170277,3.552713678800501e-15,0.1626210000000003,707.0071141615206,30,Cardboard
29.9,0.0,25.0,13237.34,30.67,188.87,115679.3,19.8,1.027324414715719,3829.471739130436,6.205250836120401,617.5520232170277,3.552713678800501e-15,0.1626210000000003,707.0071141615206,30,Cardboard
29.9,0.0,25.0,13237.34,30.67,188.87,115679.3,19.8,1.027324414715719,3829.471739130436,6.205250836120401,617.5520232170277,3.552713678800501e-15,0.1626210000000003,707.0071141615206,30,Cardboard
29.9,0.0,25.0,13237.34,30.67,188.87,115679.3,19.8,1.027324414715719,3829.471739130436,6.205250836120401,617.5520232170277,3.552713678800501e-15,0.1626210000000003,707.0071141615206,30,Cardboard
29.9,0.0,25.0,13237.34,30.67,188.87,115679.3,19.8,1.027324414715719,3829.471739130436,6.205250836120401,617.5520232170277,3.552713678800501e-15,0.1626210000000003,707.0071141615206,30,Cardboard
29.9,0.0,25.0,13237.34,30.67,188.87,115679.3,19.8,1.027324414715719,3829.471739130436,6.205250836120401,617.5520232170277,3.552713678800501e-15,0.1626210000000003,707.0071141615206,30,Cardboard
29.9,0.0,25.0,13398.93,31.23,177.76,113902.2,19.8,1.027324414715719,3829.471739130436,6.205250836120401,617.5520232170277,3.552713678800501e-15,0.1626210000000003,707.0071141615206,30,Cardboard
29.9,0.0,25.0,13398.93,31.23,177.76,113902.2,19.8,1.027324414715719,3829.471739130436,6.205250836120401,617.5520232170277,3.552713678800501e-15,0.1626210000000003,707.0071141615206,30,Cardboard
29.9,0.0,25.0,13398.93,31.23,177.76,113902.2,19.8,1.027324414715719,3829.471739130436,6.205250836120401,617.5520232170277,3.552713678800501e-15,0.1626210000000003,707.0071141615206,30,Cardboard
29.9,0.0,25.0,13398.93,31.23,177.76,113902.2,19.8,1.027324414715719,3829.471739130436,6.205250836120401,617.5520232170277,3.552713678800501e-15,0.1626210000000003,707.0071141615206,30,Cardboard
29.9,0.0,25.0,13398.93,31.23,177.76,113902.2,19.8,1.027324414715719,3829.471739130436,6.205250836120401,617.5520232170277,3.552713678800501e-15,0.1626210000000003,707.0071141615206,30,Cardboard
29.9,0.0,25.0,13249.64,31.03,188.87,114520.4,19.8,1.027324414715719,3829.471739130436,6.205250836120401,617.5520232170277,3.552713678800501e-15,0.1626210000000003,707.0071141615206,30,Cardboard
