r_cm,snr,area_norm_r,energy_density,width_rel,snr_variance,echo_consistency,material
76.9,61.6,3644.4737024808737,504.9796849684969,7.217100130039012,3.432240000000001,2261.4951203296764,Cardboard
76.9,61.6,3644.4737024808737,504.9796849684969,7.217100130039012,3.432240000000001,2261.4951203296764,Cardboard
76.9,61.6,3644.4737024808737,504.9796849684969,7.217100130039012,3.432240000000001,2261.4951203296764,Cardboard
76.9,61.6,3644.4737024808737,504.9796849684969,7.217100130039012,3.432240000000001,2261.4951203296764,Cardboard
77.0,64.62,3644.4737024808737,504.9796849684969,7.217100130039012,3.432240000000001,2261.4951203296764,Cardboard
77.0,64.62,3644.4737024808737,504.9796849684969,7.217100130039012,3.432240000000001,2261.4951203296764,Cardboard
77.0,64.62,3644.4737024808737,504.9796849684969,7.217100130039012,3.432240000000001,2261.4951203296764,Cardboard
77.0,64.62,3644.4737024808737,504.9796849684969,7.217100130039012,3.432240000000001,2261.4951203296764,Cardboard
77.0,64.62,3644.4737024808737,504.9796849684969,7.217100130039012,3.432240000000001,2261.4951203296764,Cardboard
77.0,60.84,3644.4737024808737,504.9796849684969,7.217100130039012,3.432240000000001,2261.4951203296764,Cardboard
77.0,60.84,3644.4737024808737,504.9796849684969,7.217100130039012,3.432240000000001,2261.4951203296764,Cardboard
77.0,60.84,3644.4737024808737,504.9796849684969,7.217100130039012,3.432240000000001,2261.4951203296764,Cardboard
77.0,60.84,3644.4737024808737,504.9796849684969,7.217100130039012,3.432240000000001,2261.4951203296764,Cardboard
77.0,60.84,3644.4737024808737,504.9796849684969,7.217100130039012,3.432240000000001,2261.4951203296764,Cardboard
77.0,60.84,3644.4737024808737,504.9796849684969,7.217100130039012,3.432240000000001,2261.4951203296764,Cardboard
77.0,65.42,3644.4737024808737,504.9796849684969,7.217100130039012,3.432240000000001,2261.4951203296764,Cardboard
